scenario,t,dt,fps,updateMs,aiMs,collisionMs,drawCalls,heapUsedMB
large_battle,181695,2.100,476.19,0.000,0.100,0.000,126,47.9
large_battle,181725,30.500,32.79,0.100,0.000,0.000,124,70.4
large_battle,181738,12.600,79.37,0.000,0.000,0.000,124,70.4
large_battle,181748,9.900,101.01,0.100,0.000,0.000,126,70.4
large_battle,181758,10.100,99.01,0.000,0.100,0.000,126,70.4
large_battle,181773,15.000,66.67,0.000,0.100,0.000,126,70.4
large_battle,181787,14.300,69.93,0.000,0.100,0.000,126,85.7
large_battle,181809,22.000,45.45,0.000,0.000,0.000,126,85.7
large_battle,181820,11.400,87.72,0.000,0.000,0.000,125,85.7
large_battle,181840,19.200,52.08,0.100,0.000,0.000,126,96.2
large_battle,181857,17.500,57.14,0.100,0.000,0.000,126,96.2
large_battle,181876,19.300,51.81,0.000,0.000,0.000,126,96.2
large_battle,181892,15.800,63.29,0.000,0.000,0.000,126,52.4
large_battle,181903,11.100,90.09,0.000,0.100,0.000,126,52.4
large_battle,181920,16.700,59.88,0.100,0.000,0.000,124,52.4
large_battle,181936,16.300,61.35,0.000,0.000,0.000,126,52.4
large_battle,181953,16.500,60.61,0.100,0.000,0.000,126,67.0
large_battle,181970,17.700,56.50,0.100,0.000,0.000,126,67.0
large_battle,181990,19.100,52.36,0.000,0.000,0.000,125,67.0
large_battle,182007,17.200,58.14,0.000,0.000,0.000,126,79.5
large_battle,182022,15.700,63.69,0.000,0.100,0.000,126,79.5
large_battle,182037,14.100,70.92,0.100,0.000,0.000,126,79.5
large_battle,182053,16.200,61.73,0.100,0.000,0.000,126,79.5
large_battle,182070,16.800,59.52,0.000,0.100,0.000,126,95.9
large_battle,182097,27.300,36.63,0.100,0.000,0.000,126,95.9
large_battle,182111,14.500,68.97,0.000,0.100,0.000,126,95.9
large_battle,182134,22.500,44.44,0.000,0.100,0.000,126,40.3
large_battle,182147,13.500,74.07,0.000,0.100,0.000,126,40.3
large_battle,182157,9.700,103.09,0.000,0.100,0.000,126,40.3
large_battle,182172,14.700,68.03,0.000,0.000,0.000,126,40.3
large_battle,182187,15.400,64.94,0.100,0.000,0.000,126,52.9
large_battle,182203,15.700,63.69,0.000,0.000,0.000,126,52.9
large_battle,182219,16.600,60.24,0.100,0.000,0.000,126,52.9
large_battle,182242,22.200,45.05,0.000,0.000,0.000,126,65.3
large_battle,182254,12.700,78.74,0.100,0.000,0.000,126,65.3
large_battle,182276,21.400,46.73,0.100,0.000,0.000,122,65.3
large_battle,182290,14.100,70.92,0.100,0.000,0.000,126,65.3
large_battle,182304,13.900,71.94,0.000,0.100,0.000,126,75.9
large_battle,182320,16.700,59.88,0.000,0.100,0.000,126,75.9
large_battle,182336,15.800,63.29,0.100,0.000,0.000,126,75.9
large_battle,182358,21.500,46.51,0.000,0.100,0.000,126,88.2
large_battle,182371,13.200,75.76,0.100,0.000,0.000,126,88.2
large_battle,182392,21.000,47.62,0.000,0.000,0.000,126,88.2
large_battle,182406,13.800,72.46,0.100,0.000,0.000,126,88.2
large_battle,182421,15.100,66.23,0.000,0.000,0.000,126,44.0
large_battle,182442,21.000,47.62,0.000,0.000,0.000,126,44.0
large_battle,182453,11.300,88.50,0.100,0.000,0.000,126,44.0
large_battle,182470,16.500,60.61,0.000,0.100,0.000,126,44.0
large_battle,182489,19.200,52.08,0.100,0.000,0.000,126,58.6
large_battle,182503,14.600,68.49,0.100,0.000,0.000,126,58.6
large_battle,182519,16.000,62.50,0.000,0.100,0.000,125,58.6
large_battle,182536,16.800,59.52,0.100,0.000,0.000,126,58.6
large_battle,182553,16.700,59.88,0.100,0.000,0.000,126,75.0
large_battle,182570,17.200,58.14,0.000,0.100,0.000,126,75.0
large_battle,182592,21.400,46.73,0.000,0.000,0.000,126,75.0
large_battle,182605,13.000,76.92,0.100,0.000,0.000,126,85.4
large_battle,182626,21.100,47.39,0.000,0.000,0.000,126,85.4
large_battle,182638,12.400,80.65,0.100,0.000,0.000,126,85.4
large_battle,182654,15.900,62.89,0.000,0.000,0.000,126,85.4
large_battle,182675,21.500,46.51,0.000,0.000,0.000,126,99.9
large_battle,182691,15.200,65.79,0.000,0.000,0.000,126,99.9
large_battle,182704,13.300,75.19,0.000,0.000,0.000,126,99.9
large_battle,182724,20.000,50.00,0.000,0.000,0.000,126,99.9
large_battle,182737,13.500,74.07,0.000,0.100,0.000,126,53.3
large_battle,182758,20.500,48.78,0.100,0.000,0.000,126,53.3
large_battle,182771,12.900,77.52,0.000,0.000,0.000,126,53.3
large_battle,182786,15.600,64.10,0.100,0.000,0.000,126,53.3
large_battle,182806,19.300,51.81,0.000,0.100,0.000,126,67.9
large_battle,182820,14.000,71.43,0.100,0.000,0.000,126,67.9
large_battle,182836,16.600,60.24,0.000,0.200,0.000,126,67.9
large_battle,182853,16.800,59.52,0.000,0.100,0.000,126,67.9
large_battle,182871,17.700,56.50,0.000,0.000,0.000,126,84.3
large_battle,182886,15.500,64.52,0.000,0.000,0.000,126,84.3
large_battle,182903,16.700,59.88,0.000,0.000,0.000,126,84.3
large_battle,182921,17.800,56.18,0.100,0.000,0.000,126,96.6
large_battle,182943,21.900,45.66,0.000,0.000,0.000,126,96.6
large_battle,182958,15.700,63.69,0.100,0.000,0.000,126,96.6
large_battle,182972,13.600,73.53,0.000,0.100,0.000,126,47.9
large_battle,182989,17.300,57.80,0.000,0.000,0.000,126,47.9
large_battle,183004,14.200,70.42,0.000,0.100,0.000,126,47.9
large_battle,183020,16.300,61.35,0.100,0.000,0.000,126,47.9
large_battle,183037,17.600,56.82,0.000,0.100,0.000,126,64.3
large_battle,183057,19.800,50.51,0.000,0.100,0.000,126,64.3
large_battle,183074,16.700,59.88,0.000,0.000,0.000,126,64.3
large_battle,183091,17.300,57.80,0.100,0.000,0.000,126,76.7
large_battle,183106,15.100,66.23,0.100,0.100,0.000,126,76.7
large_battle,183125,18.200,54.95,0.000,0.100,0.000,126,76.7
large_battle,183142,17.000,58.82,0.000,0.100,0.000,126,89.0
large_battle,183160,18.500,54.05,0.000,0.100,0.000,126,89.0
large_battle,183174,14.000,71.43,0.100,0.000,0.000,126,89.0
large_battle,183187,13.200,75.76,0.000,0.100,0.000,126,89.0
large_battle,183212,24.300,41.15,0.100,0.000,0.000,126,44.6
large_battle,183225,13.900,71.94,0.100,0.000,0.000,126,44.6
large_battle,183238,12.900,77.52,0.000,0.000,0.000,126,44.6
large_battle,183253,15.100,66.23,0.000,0.100,0.000,126,44.6
large_battle,183272,18.900,52.91,0.000,0.000,0.000,126,57.2
large_battle,183295,22.800,43.86,0.000,0.100,0.000,126,57.2
large_battle,183307,12.100,82.64,0.100,0.000,0.000,126,57.2
large_battle,183324,16.800,59.52,0.100,0.000,0.000,126,67.6
large_battle,183342,17.900,55.87,0.000,0.100,0.000,126,67.6
large_battle,183354,12.300,81.30,0.000,0.100,0.000,126,67.6
large_battle,183370,16.000,62.50,0.100,0.000,0.000,126,67.6
large_battle,183391,21.000,47.62,0.100,0.100,0.000,126,82.1
large_battle,183406,14.400,69.44,0.000,0.100,0.000,126,82.1
large_battle,183422,16.800,59.52,0.000,0.000,0.000,126,82.1
large_battle,183445,22.100,45.25,0.100,0.100,0.000,126,92.5
large_battle,183457,12.400,80.65,0.000,0.000,0.000,126,92.5
large_battle,183471,13.600,73.53,0.000,0.000,0.000,126,92.5
large_battle,183487,16.300,61.35,0.100,0.000,0.000,126,92.5
large_battle,183503,16.500,60.61,0.000,0.100,0.000,126,49.5
large_battle,183524,20.300,49.26,0.000,0.000,0.000,126,49.5
large_battle,183537,13.200,75.76,0.100,0.000,0.000,126,49.5
large_battle,183553,16.600,60.24,0.100,0.100,0.000,126,59.9
large_battle,183572,18.600,53.76,0.000,0.000,0.000,126,59.9
large_battle,183591,19.300,51.81,0.000,0.100,0.000,126,59.9
large_battle,183605,13.500,74.07,0.000,0.100,0.000,126,70.3
large_battle,183627,21.700,46.08,0.000,0.100,0.000,126,70.3
large_battle,183640,13.600,73.53,0.000,0.100,0.000,126,70.3
large_battle,183661,21.200,47.17,0.000,0.000,0.000,126,80.7
large_battle,183673,12.000,83.33,0.000,0.000,0.000,126,80.7
large_battle,183687,13.400,74.63,0.100,0.000,0.000,126,80.7
large_battle,183704,16.800,59.52,0.000,0.000,0.000,126,80.7
large_battle,183721,17.200,58.14,0.000,0.000,0.000,126,95.2
