scenario,t,dt,fps,updateMs,aiMs,collisionMs,drawCalls,heapUsedMB
small_skirmish,121679,3.800,263.16,0.100,0.000,0.100,93,67.5
small_skirmish,121700,20.800,48.08,0.200,0.000,0.100,93,67.5
small_skirmish,121712,11.800,84.75,0.100,0.000,0.000,93,67.5
small_skirmish,122337,625.500,1.60,0.100,0.000,0.000,90,77.8
small_skirmish,122348,10.400,96.15,0.100,0.000,0.000,87,77.8
small_skirmish,122357,9.800,102.04,0.100,0.000,0.000,36,77.8
small_skirmish,122374,16.900,59.17,0.200,0.000,0.000,36,77.8
small_skirmish,122391,16.600,60.24,0.200,0.000,0.000,36,84.9
small_skirmish,122407,16.500,60.61,0.000,0.100,0.000,36,84.9
small_skirmish,122424,16.700,59.88,0.000,0.100,0.000,36,84.9
small_skirmish,122441,16.600,60.24,0.000,0.100,0.000,36,84.9
small_skirmish,122457,16.700,59.88,0.000,0.100,0.000,36,41.5
small_skirmish,122474,16.700,59.88,0.000,0.000,0.000,36,41.5
small_skirmish,122491,16.900,59.17,0.100,0.100,0.000,36,41.5
small_skirmish,122508,16.500,60.61,0.100,0.000,0.000,36,46.6
small_skirmish,122524,16.700,59.88,0.100,0.000,0.000,36,46.6
small_skirmish,122541,16.700,59.88,0.100,0.000,0.000,36,46.6
small_skirmish,122558,16.600,60.24,0.100,0.000,0.000,36,46.6
small_skirmish,122574,16.800,59.52,0.100,0.000,0.000,36,53.2
small_skirmish,122591,16.800,59.52,0.000,0.100,0.000,36,53.2
small_skirmish,122608,16.400,60.98,0.200,0.000,0.000,36,53.2
small_skirmish,122624,16.700,59.88,0.100,0.100,0.000,36,53.2
small_skirmish,122641,16.600,60.24,0.200,0.000,0.000,36,59.9
small_skirmish,122658,16.800,59.52,0.100,0.000,0.000,36,59.9
small_skirmish,122674,16.700,59.88,0.100,0.000,0.000,36,59.9
small_skirmish,122691,16.600,60.24,0.000,0.100,0.000,36,64.9
small_skirmish,122708,16.800,59.52,0.100,0.000,0.000,36,64.9
small_skirmish,122727,19.200,52.08,0.100,0.100,0.000,36,64.9
small_skirmish,122741,14.000,71.43,0.100,0.100,0.000,36,69.9
small_skirmish,122758,16.700,59.88,0.000,0.000,0.000,36,69.9
small_skirmish,122774,16.700,59.88,0.200,0.000,0.000,36,69.9
small_skirmish,122791,16.600,60.24,0.000,0.000,0.000,36,74.9
small_skirmish,122808,16.800,59.52,0.000,0.100,0.000,36,74.9
small_skirmish,122824,16.700,59.88,0.100,0.100,0.000,36,74.9
small_skirmish,122841,16.800,59.52,0.100,0.000,0.000,36,79.8
small_skirmish,122858,16.800,59.52,0.000,0.000,0.000,36,79.8
small_skirmish,122875,16.800,59.52,0.100,0.000,0.000,36,79.8
small_skirmish,122891,16.600,60.24,0.100,0.000,0.000,36,84.8
small_skirmish,122908,16.500,60.61,0.100,0.000,0.000,36,84.8
small_skirmish,122925,16.600,60.24,0.200,0.000,0.000,36,84.8
small_skirmish,122941,16.700,59.88,0.000,0.100,0.000,36,84.8
small_skirmish,122958,16.500,60.61,0.000,0.100,0.100,36,42.2
small_skirmish,122975,17.100,58.48,0.100,0.000,0.000,36,42.2
small_skirmish,122991,16.300,61.35,0.100,0.000,0.000,36,42.2
small_skirmish,123008,16.700,59.88,0.000,0.000,0.000,36,47.2
small_skirmish,123025,16.700,59.88,0.000,0.000,0.000,36,47.2
small_skirmish,123041,16.700,59.88,0.100,0.000,0.000,36,47.2
small_skirmish,123058,16.500,60.61,0.000,0.000,0.000,36,47.2
small_skirmish,123076,18.500,54.05,0.100,0.000,0.000,36,53.8
small_skirmish,123091,14.900,67.11,0.000,0.000,0.000,36,53.8
small_skirmish,123108,16.700,59.88,0.100,0.000,0.000,36,53.8
small_skirmish,123125,16.700,59.88,0.100,0.000,0.000,36,53.8
small_skirmish,123141,16.700,59.88,0.200,0.000,0.000,36,60.4
small_skirmish,123158,16.800,59.52,0.200,0.000,0.000,36,60.4
small_skirmish,123175,16.500,60.61,0.100,0.000,0.000,36,60.4
small_skirmish,123191,16.800,59.52,0.100,0.100,0.000,36,66.1
small_skirmish,123208,16.500,60.61,0.100,0.000,0.100,39,66.1
small_skirmish,123224,16.600,60.24,0.000,0.200,0.000,42,66.1
small_skirmish,123241,16.900,59.17,0.000,0.100,0.000,45,66.1
small_skirmish,123258,16.700,59.88,0.100,0.000,0.000,48,76.7
small_skirmish,123275,16.700,59.88,0.000,0.100,0.000,51,76.7
small_skirmish,123291,16.600,60.24,0.100,0.100,0.000,54,76.7
small_skirmish,123308,16.600,60.24,0.100,0.100,0.000,57,76.7
small_skirmish,123325,16.800,59.52,0.100,0.000,0.100,60,87.8
small_skirmish,123341,16.600,60.24,0.600,0.100,0.000,63,87.8
small_skirmish,123358,16.800,59.52,0.100,0.100,0.000,66,87.8
small_skirmish,123375,16.600,60.24,0.100,0.100,0.000,69,87.8
small_skirmish,123391,16.600,60.24,0.100,0.300,0.000,72,49.7
small_skirmish,123408,16.600,60.24,0.100,0.000,0.100,75,49.7
small_skirmish,123425,16.700,59.88,0.100,0.200,0.000,78,49.7
small_skirmish,123441,16.600,60.24,0.100,0.100,0.300,81,49.7
small_skirmish,123458,16.800,59.52,0.100,0.100,0.000,84,61.7
small_skirmish,123475,16.500,60.61,0.100,0.100,0.100,87,61.7
small_skirmish,123491,16.800,59.52,0.100,0.100,0.000,90,61.7
small_skirmish,123508,16.900,59.17,0.100,0.100,0.000,93,71.0
small_skirmish,123525,16.600,60.24,0.100,0.100,0.000,96,71.0
small_skirmish,123541,16.600,60.24,0.200,0.000,0.000,99,71.0
small_skirmish,123558,16.700,59.88,0.100,0.100,0.000,102,71.0
small_skirmish,123575,16.600,60.24,0.000,0.100,0.100,105,83.7
small_skirmish,123591,16.600,60.24,0.200,0.100,0.000,108,83.7
small_skirmish,123608,16.800,59.52,0.100,0.000,0.100,111,83.7
small_skirmish,123625,16.600,60.24,0.000,0.100,0.100,114,83.7
small_skirmish,123641,16.700,59.88,0.100,0.200,0.100,117,47.4
small_skirmish,123658,16.700,59.88,0.000,0.100,0.000,120,47.4
small_skirmish,123675,16.600,60.24,0.200,0.000,0.000,123,47.4
small_skirmish,123691,16.700,59.88,0.100,0.000,0.100,126,47.4
small_skirmish,123708,16.700,59.88,0.100,0.000,0.100,129,61.2
small_skirmish,123725,16.500,60.61,0.100,0.000,0.000,132,61.2
small_skirmish,123741,16.800,59.52,0.100,0.100,0.000,135,61.2
small_skirmish,123758,16.600,60.24,0.200,0.000,0.000,138,61.2
small_skirmish,123775,16.800,59.52,0.100,0.000,0.100,141,75.6
small_skirmish,123793,17.700,56.50,0.200,0.000,0.200,144,75.6
small_skirmish,123822,29.300,34.13,0.100,0.100,0.000,147,75.6
small_skirmish,123832,10.400,96.15,0.000,0.100,0.100,150,42.8
small_skirmish,123844,12.100,82.64,0.000,0.000,0.100,147,42.8
small_skirmish,123858,13.700,72.99,0.100,0.100,0.000,150,42.8
small_skirmish,123875,16.700,59.88,0.100,0.100,0.000,150,42.8
small_skirmish,123891,16.700,59.88,0.200,0.000,0.100,150,57.7
small_skirmish,123909,17.100,58.48,0.100,0.100,0.000,150,57.7
small_skirmish,123926,17.200,58.14,0.100,0.000,0.100,150,57.7
small_skirmish,123942,15.900,62.89,0.100,0.100,0.000,150,68.9
small_skirmish,123958,16.700,59.88,0.100,0.100,0.000,150,68.9
small_skirmish,123975,16.900,59.17,0.200,0.100,0.100,150,68.9
small_skirmish,123992,16.300,61.35,0.100,0.100,0.000,150,68.9
small_skirmish,124008,16.700,59.88,0.100,0.100,0.000,150,83.8
small_skirmish,124025,16.700,59.88,0.100,0.000,0.000,150,83.8
small_skirmish,124042,16.600,60.24,0.200,0.000,0.100,150,83.8
small_skirmish,124059,17.400,57.47,0.100,0.000,0.200,147,44.1
small_skirmish,124079,19.800,50.51,0.100,0.000,0.200,144,44.1
small_skirmish,124092,13.700,72.99,0.100,0.100,0.000,141,44.1
small_skirmish,124108,15.900,62.89,0.200,0.000,0.000,138,44.1
small_skirmish,124125,16.700,59.88,0.200,0.000,0.000,135,48.5
small_skirmish,124142,16.800,59.52,0.100,0.000,0.000,132,48.5
small_skirmish,124158,16.400,60.98,0.100,0.000,0.000,129,48.5
small_skirmish,124175,16.700,59.88,0.200,0.000,0.000,126,48.5
small_skirmish,124192,16.700,59.88,0.100,0.000,0.100,123,59.2
small_skirmish,124208,16.600,60.24,0.200,0.000,0.000,120,59.2
small_skirmish,124225,16.700,59.88,0.100,0.100,0.000,117,59.2
small_skirmish,124242,16.800,59.52,0.100,0.000,0.100,114,66.9
small_skirmish,124258,16.600,60.24,0.100,0.000,0.100,111,66.9
small_skirmish,124275,16.600,60.24,0.100,0.000,0.100,108,66.9
small_skirmish,124292,16.700,59.88,0.100,0.000,0.100,105,74.3
small_skirmish,124308,16.800,59.52,0.100,0.000,0.000,102,74.3
small_skirmish,124325,16.600,60.24,0.100,0.000,0.100,99,74.3
small_skirmish,124342,16.700,59.88,0.000,0.100,0.000,96,81.3
small_skirmish,124359,16.800,59.52,0.100,0.000,0.000,93,81.3
small_skirmish,124375,16.600,60.24,0.100,0.000,0.000,90,81.3
small_skirmish,124392,16.600,60.24,0.100,0.000,0.100,87,88.0
small_skirmish,124409,16.800,59.52,0.100,0.100,0.000,84,88.0
small_skirmish,124425,16.600,60.24,0.100,0.000,0.000,81,88.0
small_skirmish,124442,16.500,60.61,0.100,0.000,0.000,78,88.0
small_skirmish,124458,16.700,59.88,0.100,0.000,0.000,75,96.5
small_skirmish,124475,16.800,59.52,0.200,0.000,0.000,75,96.5
small_skirmish,124492,16.800,59.52,0.100,0.000,0.100,69,96.5
small_skirmish,124509,16.600,60.24,0.000,0.100,0.000,66,45.2
small_skirmish,124525,16.700,59.88,0.100,0.000,0.000,63,45.2
small_skirmish,124542,16.700,59.88,0.000,0.100,0.000,60,45.2
small_skirmish,124559,16.600,60.24,0.100,0.000,0.000,57,45.2
small_skirmish,124575,16.800,59.52,0.100,0.000,0.000,54,52.8
small_skirmish,124592,16.500,60.61,0.100,0.000,0.100,51,52.8
small_skirmish,124609,16.800,59.52,0.000,0.000,0.000,48,52.8
small_skirmish,124625,16.600,60.24,0.100,0.000,0.000,45,52.8
small_skirmish,124642,16.600,60.24,0.100,0.000,0.000,42,59.8
small_skirmish,124659,16.900,59.17,0.100,0.000,0.000,39,59.8
small_skirmish,124675,16.500,60.61,0.100,0.000,0.000,36,59.8
small_skirmish,124692,16.600,60.24,0.100,0.000,0.000,36,59.8
small_skirmish,124709,16.900,59.17,0.000,0.000,0.000,36,66.4
small_skirmish,124725,16.500,60.61,0.000,0.000,0.000,36,66.4
small_skirmish,124742,16.800,59.52,0.000,0.000,0.000,36,66.4
small_skirmish,124759,16.500,60.61,0.100,0.000,0.000,36,66.4
small_skirmish,124775,16.800,59.52,0.100,0.000,0.000,36,73.0
small_skirmish,124792,16.500,60.61,0.100,0.000,0.000,36,73.0
small_skirmish,124809,16.800,59.52,0.100,0.000,0.000,36,73.0
small_skirmish,124825,16.600,60.24,0.100,0.000,0.000,36,73.0
small_skirmish,124842,16.800,59.52,0.000,0.000,0.000,36,79.6
small_skirmish,124859,16.700,59.88,0.100,0.000,0.000,36,79.6
small_skirmish,124875,16.600,60.24,0.000,0.100,0.000,36,79.6
small_skirmish,124892,16.800,59.52,0.000,0.000,0.000,36,84.6
small_skirmish,124909,16.600,60.24,0.100,0.000,0.000,36,84.6
small_skirmish,124925,16.700,59.88,0.000,0.000,0.000,36,84.6
small_skirmish,124942,16.700,59.88,0.000,0.000,0.000,36,84.6
small_skirmish,124959,16.800,59.52,0.000,0.000,0.000,36,91.1
small_skirmish,124975,16.500,60.61,0.100,0.000,0.000,36,91.1
small_skirmish,124992,16.500,60.61,0.100,0.200,0.000,36,91.1
small_skirmish,125009,16.800,59.52,0.100,0.000,0.000,36,91.1
small_skirmish,125025,16.700,59.88,0.300,0.000,0.000,36,97.7
small_skirmish,125042,16.700,59.88,0.100,0.100,0.000,36,97.7
small_skirmish,125059,16.600,60.24,0.100,0.000,0.000,36,97.7
small_skirmish,125075,16.700,59.88,0.000,0.000,0.000,36,97.7
small_skirmish,125092,16.700,59.88,0.100,0.100,0.000,36,47.1
small_skirmish,125109,16.700,59.88,0.000,0.000,0.000,36,47.1
small_skirmish,125126,16.700,59.88,0.100,0.000,0.000,36,47.1
small_skirmish,125142,16.500,60.61,0.100,0.000,0.000,36,47.1
small_skirmish,125159,16.800,59.52,0.100,0.000,0.000,36,53.7
small_skirmish,125176,16.900,59.17,0.100,0.000,0.000,36,53.7
small_skirmish,125192,16.600,60.24,0.100,0.000,0.000,36,53.7
small_skirmish,125209,16.500,60.61,0.000,0.000,0.000,36,58.7
small_skirmish,125226,16.800,59.52,0.000,0.000,0.000,36,58.7
small_skirmish,125242,16.600,60.24,0.100,0.000,0.000,36,58.7
small_skirmish,125259,16.500,60.61,0.100,0.000,0.000,36,58.7
small_skirmish,125276,16.900,59.17,0.100,0.100,0.000,36,65.3
small_skirmish,125292,16.500,60.61,0.100,0.000,0.000,36,65.3
small_skirmish,125309,16.800,59.52,0.000,0.200,0.000,36,65.3
small_skirmish,125326,16.700,59.88,0.100,0.000,0.000,36,65.3
small_skirmish,125342,16.600,60.24,0.200,0.000,0.000,36,71.9
small_skirmish,125359,17.100,58.48,0.100,0.000,0.000,36,71.9
small_skirmish,125376,16.400,60.98,0.000,0.000,0.000,36,71.9
small_skirmish,125392,16.500,60.61,0.000,0.000,0.000,36,71.9
small_skirmish,125409,16.800,59.52,0.000,0.000,0.000,36,78.5
small_skirmish,125426,16.700,59.88,0.200,0.000,0.000,36,78.5
small_skirmish,125442,16.700,59.88,0.100,0.000,0.000,36,78.5
small_skirmish,125459,16.800,59.52,0.100,0.000,0.000,36,83.4
small_skirmish,125476,16.500,60.61,0.000,0.100,0.000,36,83.4
small_skirmish,125492,16.600,60.24,0.100,0.100,0.000,36,83.4
small_skirmish,125509,16.700,59.88,0.000,0.000,0.000,36,83.4
small_skirmish,125527,17.500,57.14,0.000,0.100,0.000,36,90.0
small_skirmish,125543,16.700,59.88,0.000,0.000,0.000,36,90.0
small_skirmish,125559,15.800,63.29,0.100,0.100,0.000,36,90.0
small_skirmish,125576,16.800,59.52,0.200,0.000,0.000,36,90.0
small_skirmish,125592,16.400,60.98,0.100,0.000,0.000,36,96.6
small_skirmish,125609,16.600,60.24,0.000,0.000,0.000,36,96.6
