scenario,t,dt,fps,updateMs,aiMs,collisionMs,drawCalls,heapUsedMB
world_sail,62213,562.200,1.78,0.300,0.200,0.100,0,31.9
world_sail,62559,345.400,2.90,0.100,0.200,0.000,27,34.1
world_sail,62576,17.700,56.50,0.100,0.000,0.000,27,34.1
world_sail,62587,10.900,91.74,0.100,0.100,0.000,27,34.1
world_sail,62599,11.700,85.47,0.000,0.100,0.000,27,34.1
world_sail,62620,20.800,48.08,0.200,0.100,0.000,27,33.0
world_sail,62629,9.100,109.89,0.100,0.100,0.000,27,33.0
world_sail,62646,16.700,59.88,0.100,0.100,0.000,27,33.0
world_sail,62663,17.000,58.82,0.200,0.100,0.000,27,33.0
world_sail,62679,16.500,60.61,0.200,0.100,0.000,27,31.5
world_sail,62696,16.600,60.24,0.100,0.100,0.000,27,31.5
world_sail,62712,16.700,59.88,0.200,0.100,0.000,27,31.5
world_sail,62729,16.500,60.61,0.100,0.000,0.000,27,31.5
world_sail,62746,16.900,59.17,0.100,0.100,0.000,27,32.7
world_sail,62762,16.700,59.88,0.200,0.100,0.000,27,32.7
world_sail,62779,16.400,60.98,0.200,0.000,0.000,27,32.7
world_sail,62796,16.700,59.88,0.200,0.200,0.000,27,32.7
world_sail,62812,16.700,59.88,0.200,0.000,0.000,27,33.9
world_sail,62829,16.700,59.88,0.200,0.000,0.000,27,33.9
world_sail,62855,25.700,38.91,0.100,0.100,0.000,27,33.9
world_sail,62863,8.700,114.94,0.000,0.100,0.000,27,34.0
world_sail,62976,112.800,8.87,0.200,0.000,0.000,27,31.9
world_sail,62985,9.300,107.53,0.100,0.000,0.000,27,31.9
world_sail,62996,10.200,98.04,0.100,0.000,0.000,27,31.9
world_sail,63013,16.900,59.17,0.300,0.000,0.000,27,31.9
world_sail,63029,16.500,60.61,0.200,0.000,0.000,27,32.2
world_sail,63046,16.900,59.17,0.200,0.000,0.000,27,32.2
world_sail,63063,16.600,60.24,0.100,0.000,0.000,27,32.2
world_sail,63079,16.600,60.24,0.200,0.100,0.000,27,35.5
world_sail,63096,16.600,60.24,0.100,0.100,0.000,27,35.5
world_sail,63113,16.900,59.17,0.200,0.000,0.000,27,35.5
world_sail,63129,16.700,59.88,0.000,0.100,0.000,27,32.5
world_sail,63146,16.800,59.52,0.100,0.000,0.000,27,32.5
world_sail,63163,16.600,60.24,0.000,0.000,0.000,27,32.5
world_sail,63179,16.300,61.35,0.000,0.100,0.100,27,32.5
world_sail,63196,16.900,59.17,0.100,0.000,0.000,27,36.9
world_sail,63212,16.500,60.61,0.100,0.100,0.000,27,36.9
world_sail,63229,17.000,58.82,0.200,0.000,0.000,27,36.9
world_sail,63246,16.400,60.98,0.200,0.000,0.000,27,36.9
world_sail,63263,17.000,58.82,0.100,0.100,0.000,27,34.9
world_sail,63279,16.500,60.61,0.100,0.000,0.000,27,34.9
world_sail,63296,16.600,60.24,0.100,0.100,0.000,27,34.9
world_sail,63313,16.700,59.88,0.200,0.000,0.000,27,34.9
world_sail,63329,16.600,60.24,0.200,0.000,0.000,27,32.8
world_sail,63346,16.800,59.52,0.100,0.000,0.000,27,32.8
world_sail,63363,16.600,60.24,0.100,0.000,0.000,27,32.8
world_sail,63379,16.700,59.88,0.100,0.100,0.000,27,32.8
world_sail,63396,16.600,60.24,0.200,0.000,0.000,27,36.9
world_sail,63413,16.900,59.17,0.000,0.100,0.000,27,36.9
world_sail,63429,16.500,60.61,0.200,0.100,0.000,27,36.9
world_sail,63446,16.800,59.52,0.100,0.100,0.000,27,33.9
world_sail,63463,16.600,60.24,0.000,0.100,0.000,27,33.9
world_sail,63479,16.700,59.88,0.100,0.100,0.000,27,33.9
world_sail,63496,16.600,60.24,0.200,0.000,0.000,27,36.9
world_sail,63513,16.600,60.24,0.200,0.000,0.000,27,36.9
world_sail,63529,16.700,59.88,0.000,0.100,0.000,27,36.9
world_sail,63546,16.700,59.88,0.200,0.000,0.000,27,36.9
world_sail,63563,16.700,59.88,0.000,0.100,0.000,27,35.0
world_sail,63579,16.700,59.88,0.100,0.100,0.000,27,35.0
world_sail,63596,16.700,59.88,0.100,0.000,0.000,27,35.0
world_sail,63613,17.000,58.82,0.100,0.100,0.000,27,32.1
world_sail,63630,16.400,60.98,0.100,0.000,0.000,27,32.1
world_sail,63646,16.500,60.61,0.300,0.000,0.000,27,32.1
world_sail,63663,16.700,59.88,0.100,0.000,0.000,27,32.1
world_sail,63679,16.700,59.88,0.100,0.100,0.000,27,33.4
world_sail,63696,16.800,59.52,0.200,0.100,0.000,27,33.4
world_sail,63713,16.500,60.61,0.200,0.000,0.000,27,33.4
world_sail,63730,16.800,59.52,0.100,0.000,0.000,27,36.6
world_sail,63746,16.500,60.61,0.100,0.000,0.000,27,36.6
world_sail,63763,16.900,59.17,0.100,0.000,0.000,27,36.6
world_sail,63779,16.400,60.98,0.100,0.000,0.000,27,36.6
world_sail,63796,17.000,58.82,0.100,0.100,0.000,27,33.8
world_sail,63813,16.500,60.61,0.000,0.100,0.000,27,33.8
world_sail,63829,16.600,60.24,0.200,0.000,0.000,27,33.8
world_sail,63846,16.900,59.17,0.100,0.000,0.000,27,33.8
world_sail,63863,16.800,59.52,0.100,0.000,0.000,27,31.7
world_sail,63880,16.700,59.88,0.100,0.100,0.000,27,31.7
world_sail,63896,16.300,61.35,0.100,0.000,0.000,27,31.7
world_sail,63913,16.700,59.88,0.100,0.000,0.000,27,31.7
world_sail,63929,16.500,60.61,0.100,0.100,0.000,27,35.8
world_sail,63946,16.900,59.17,0.100,0.000,0.000,27,35.8
world_sail,63963,17.100,58.48,0.200,0.000,0.000,27,35.8
world_sail,63980,16.200,61.73,0.100,0.000,0.000,27,31.8
world_sail,63996,16.900,59.17,0.200,0.000,0.000,27,31.8
world_sail,64013,16.600,60.24,0.000,0.100,0.000,27,31.8
world_sail,64029,16.400,60.98,0.100,0.000,0.000,27,31.8
world_sail,64046,16.700,59.88,0.200,0.000,0.000,27,35.9
world_sail,64063,16.900,59.17,0.100,0.000,0.000,27,35.9
world_sail,64080,16.500,60.61,0.100,0.100,0.000,27,35.9
world_sail,64096,16.700,59.88,0.000,0.000,0.000,27,32.0
world_sail,64113,16.800,59.52,0.100,0.100,0.000,27,32.0
world_sail,64130,16.700,59.88,0.100,0.000,0.000,27,32.0
world_sail,64146,16.600,60.24,0.100,0.100,0.000,27,35.0
world_sail,64163,16.800,59.52,0.100,0.000,0.000,27,35.0
world_sail,64180,16.500,60.61,0.100,0.000,0.000,27,35.0
